ensembl,gene_exp,Affinity,Class,disease_score,disgenet_score,pathways,kinaseness
ENSP00000246914,0.0,0.0,0.0,0.0,0.0,52.0,2.0
v750,0.0,0.0,0.0,0.0,0.0,113.0,0.0
v507,0.0,0.0,0.0,0.0,0.0,180.0,0.0
v1150,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSP00000247270,0.0,0.0,0.0,0.0,0.0,62.0,1.0
v329,0.0,0.0,0.0,0.0,0.0,19.0,0.0
ENSP00000248071,0.0,0.0,0.0,0.0,0.0,109.0,1.0
ENSP00000248306,0.0,0.0,0.0,0.0,0.0,125.0,1.0
ENSP00000248572,1.0,0.0,0.0,0.0,0.0,39.0,1.0
ENSP00000248643,1.0,0.0,0.0,0.0,0.0,115.0,1.0
ENSP00000249044,0.0,0.0,0.0,0.0,0.0,91.0,1.0
ENSP00000249064,0.0,0.0,0.0,0.0,0.0,55.0,1.0
v1073,0.0,0.0,0.0,0.0,0.0,63.0,0.0
v102,0.0,0.0,0.0,0.0,0.0,275.0,0.0
ENSP00000250160,0.0,0.0,0.0,0.0,0.0,17.0,1.0
